code,prerequisite,restrictions
ACCT*1220,None,ACCT*2220. This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations. See department for more information.
ACCT*1240,ACCT*1220 or ACCT*2220,ACCT*2240. This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations. See department for more information.
